genre,ClusterLabel,size
Electronic,0,10
Electronic,1,14
Electronic,2,10
Electronic,3,462
Electronic,4,459
Electronic,6,31
Electronic,7,13
Experimental,0,4
Experimental,1,11
Experimental,2,7
Experimental,3,509
Experimental,4,439
Experimental,6,24
Experimental,7,5
Folk,0,3
Folk,1,3
Folk,2,2
Folk,3,487
Folk,4,489
Folk,6,15
Folk,7,1
Hip-Hop,0,3
Hip-Hop,1,4
Hip-Hop,2,4
Hip-Hop,3,481
Hip-Hop,4,493
Hip-Hop,6,14
Hip-Hop,7,1
Instrumental,0,11
Instrumental,1,8
Instrumental,2,17
Instrumental,3,476
Instrumental,4,451
Instrumental,6,35
Instrumental,7,2
International,0,2
International,2,2
International,3,517
International,4,459
International,6,18
International,7,2
Pop,0,4
Pop,1,4
Pop,2,4
Pop,3,480
Pop,4,484
Pop,5,1
Pop,6,14
Pop,7,9
Rock,0,1
Rock,1,5
Rock,2,3
Rock,3,492
Rock,4,491
Rock,6,4
Rock,7,3
