,genre,ClusterLabel,size
32,Electronic,0,72
96,Pop,0,73
72,International,0,101
64,Instrumental,0,69
56,Hip-Hop,0,40
48,Folk,0,58
40,Experimental,0,77
104,Rock,0,66
105,Rock,1,18
33,Electronic,1,33
65,Instrumental,1,76
57,Hip-Hop,1,35
97,Pop,1,44
49,Folk,1,51
41,Experimental,1,37
73,International,1,52
34,Electronic,2,650
106,Rock,2,718
74,International,2,645
50,Folk,2,675
66,Instrumental,2,545
42,Experimental,2,628
98,Pop,2,639
58,Hip-Hop,2,740
75,International,3,5
67,Instrumental,3,40
35,Electronic,3,42
59,Hip-Hop,3,25
99,Pop,3,15
107,Rock,3,13
43,Experimental,3,29
51,Folk,3,16
76,International,4,3
44,Experimental,4,11
108,Rock,4,4
36,Electronic,4,13
60,Hip-Hop,4,3
52,Folk,4,4
100,Pop,4,13
68,Instrumental,4,11
37,Electronic,5,23
53,Folk,5,19
101,Pop,5,27
45,Experimental,5,36
109,Rock,5,14
61,Hip-Hop,5,13
77,International,5,25
69,Instrumental,5,41
38,Electronic,6,20
70,Instrumental,6,12
62,Hip-Hop,6,7
102,Pop,6,8
54,Folk,6,4
46,Experimental,6,11
78,International,6,2
110,Rock,6,4
63,Hip-Hop,7,137
79,International,7,167
71,Instrumental,7,206
55,Folk,7,173
47,Experimental,7,170
39,Electronic,7,146
103,Pop,7,181
111,Rock,7,162
