,genre,ClusterLabel
2,Hip-Hop,2
5,Hip-Hop,2
10,Pop,2
140,Folk,2
141,Folk,2
148,Experimental,7
182,Rock,2
190,Folk,1
193,Folk,7
194,Folk,1
197,Folk,7
200,Folk,1
203,Folk,7
204,Folk,7
207,Folk,7
210,Folk,1
211,Folk,5
212,Folk,2
213,Pop,2
255,Rock,2
256,Rock,7
368,Rock,2
424,Experimental,2
459,Rock,2
534,Folk,2
540,Folk,2
546,Folk,2
574,Rock,2
602,Folk,2
615,Experimental,2
620,Folk,2
621,Folk,7
625,Folk,4
666,International,7
667,International,0
676,Hip-Hop,2
690,Rock,7
694,Hip-Hop,2
695,Hip-Hop,2
704,International,2
705,International,2
706,International,7
707,International,7
708,International,2
709,International,2
714,Folk,2
715,Folk,2
716,Folk,2
718,Folk,2
777,Rock,2
814,Folk,1
821,Pop,2
822,Pop,2
825,Rock,2
853,International,0
890,Folk,2
892,Folk,2
897,Experimental,2
993,Rock,2
995,Experimental,2
997,Experimental,2
998,Experimental,2
1039,Rock,7
1040,Rock,2
1066,Experimental,2
1069,Experimental,2
1073,Experimental,7
1075,Experimental,2
1082,International,7
1083,Experimental,7
1087,Rock,0
1102,Rock,7
1193,Folk,2
1195,Folk,2
1196,Folk,2
1197,Folk,2
1249,Experimental,2
1259,Experimental,2
1270,Rock,7
1276,Experimental,2
1277,Experimental,7
1278,Experimental,2
1417,Rock,2
1427,Rock,7
1443,Experimental,2
1482,Electronic,7
1510,Experimental,7
1544,Folk,0
1642,Pop,5
1644,Pop,2
1649,Pop,7
1661,Pop,2
1663,Pop,2
1666,Pop,2
1673,Experimental,2
1680,International,2
1681,International,2
1682,International,2
1683,International,2
1684,International,2
1685,International,2
1686,International,2
1687,International,2
1688,International,2
1689,International,2
1701,Folk,7
1702,Folk,7
1703,Folk,2
1704,Folk,2
1706,Rock,7
1720,Rock,5
1732,Experimental,5
1733,Experimental,2
1735,Experimental,2
1736,Experimental,2
1883,Rock,2
1891,Rock,2
1893,Folk,2
1924,Folk,2
1925,Folk,7
1929,Experimental,2
1930,Rock,7
2012,Experimental,2
2096,Experimental,7
2097,Folk,2
2099,Pop,2
3263,Folk,2
3264,Folk,2
3265,Folk,2
3266,Folk,2
3270,Folk,2
3271,Folk,2
3272,Folk,2
3273,Folk,2
3274,Folk,2
3492,Rock,2
3532,Pop,2
3533,Pop,2
3534,Pop,2
3535,Pop,2
3537,Pop,2
3538,Pop,2
3573,Electronic,2
3598,Folk,2
3624,Rock,2
3707,Folk,2
3708,Folk,2
3720,Rock,0
3721,Rock,0
3722,Rock,7
3724,Rock,0
3725,Rock,0
3761,Rock,2
3762,Rock,2
3763,Rock,2
3765,Rock,2
3766,Rock,2
3775,International,2
3776,International,2
3777,International,2
3778,International,2
3779,International,2
3832,Folk,2
3833,Rock,2
3840,Rock,2
3880,Folk,2
3895,International,7
3896,International,5
3904,Folk,7
3905,Folk,2
3906,Folk,2
3908,Folk,2
3909,Folk,7
3910,Folk,2
3911,Folk,2
3912,Folk,7
3913,Folk,2
3920,Folk,2
3921,Folk,2
3950,Rock,2
4013,Folk,2
4017,Folk,2
4022,Rock,2
4037,Folk,2
4066,Folk,2
4067,Folk,2
4068,Folk,2
4069,Folk,2
4070,International,2
4071,International,2
4072,International,2
4073,International,7
4074,International,7
4075,International,2
4076,International,7
4077,International,7
4078,International,2
4079,International,7
4080,International,7
4091,International,2
4092,International,2
4093,International,2
4094,International,2
4095,International,2
4096,International,2
4097,International,2
4098,International,2
4099,International,2
4100,International,2
4101,International,2
4102,International,2
4103,International,2
4108,Rock,2
4232,International,2
4233,International,2
4234,International,2
4235,International,2
4236,International,2
